Partner IID;Gender;Age;Field of study;Field coded;Undergraduate;Median SAT score;Tuition;Race;Importance of race;Importance of religion;From;Zip code;Median income;Goal for the evening;Frequency of dates;Frequency of going out;Intended career;Career code;Interest in playing sports;Interest in watching sports;Interest in bodybuilding and exercices;Interest in dining;Interest in museums;Interest in art;Interest in hiking/camping;Interest in gaming;Interest in clubbing;Interest in reading;Interest in tv;Interest in theater;Interest in movies;Interest in concerts;Interest in music;Interest in shopping;Interest in yoga;How happy do you expect to be;Expected number of interested people;Looking for attractive (before evening);Looking for sincere (before evening);Looking for intelligent (before evening);Looking for fun (before evening);Looking for ambitious (before evening);Looking for shared interests (before evening);Other peers importance for attractive (before evening);Other peers importance for sincere (before evening);Other peers importance for intelligent (before evening);Other peers importance for fun (before evening);Other peers importance for ambitious (before evening);Other peers importance for shared interests (before evening);Opposite sex importance for attractive (before evening);Opposite sex importance for sincere (before evening);Opposite sex importance for intelligent (before evening);Opposite sex importance for fun (before evening);Opposite sex importance for ambitious (before evening);Opposite sex importance for shared interests (before evening);How attractive do you think you are (before evening);How sincere do you think you are (before evening);How fun do you think you are (before evening);How intelligent do you think you are (before evening);How ambitious do you think you are (before evening);How attractive do you think you are perceived (before evening);How sincere do you think you are perceived (before evening);How intelligent do you think you are perceived (before evening);How fun do you think you are perceived (before evening);How ambitious do you think you are perceived (before evening);How important is attractiveness (mid evening);How important is sincerity (mid evening);How important is intelligence (mid evening);How important is fun (mid evening);How important is ambition (mid evening);How important is shared interests (mid evening);Self rating of attractiveness (mid evening);Self rating of sincerity (mid evening);Self rating of intelligence (mid evening);Self rating of fun (mid evening);Self rating of ambition (mid evening);Satisfaction of people met;4 minutes is;Number of dates you had was;Importance of attractiveness in decision (after event);Importance of sincerity in decision (after event);Importance of intelligence in decision (after event);Importance of fun in decision (after event);Importance of ambition in decision (after event);Importance of shared interests in decision (after event);Looking for attractive (after event);Looking for sincere (after event);Looking for intelligent (after event);Looking for fun (after event);Looking for ambitious (after event);Looking for shared interests (after event);Other peers importance for attractive (after event);Other peers importance for sincere (after event);Other peers importance for intelligent (after event);Other peers importance for fun (after event);Other peers importance for ambitious (after event);Other peers importance for shared interests (after event);Opposite sex importance for attractive (after event);Opposite sex importance for sincere (after event);Opposite sex importance for intelligent (after event);Opposite sex importance for fun (after event);Opposite sex importance for ambitious (after event);Opposite sex importance for shared interests (after event);How attractive do you think you are (after event);How sincere do you think you are (after event);How intelligent do you think you are (after event);How fun do you think you are (after event);How ambitious do you think you are (after event);How attractive do you think you are perceived (after event);How sincere do you think you are perceived (after event);How intelligent do you think you are perceived (after event);How fun do you think you are perceived (after event);How ambitious do you think you are perceived (after event);How many have you called;How many called you;Have you been on a date with a match?;With how many matches;How many dates?;Looking for attractive (follow up);Looking for sincere (follow up);Looking for intelligent (follow up);Looking for fun (follow up);Looking for ambitious (follow up);Looking for shared interests (follow up);Importance of attractiveness in decision (follow up);Importance of sincerity in decision (follow up);Importance of intelligence in decision (follow up);Importance of fun in decision (follow up);Importance of ambition in decision (follow up);Importance of shared interests in decision (follow up);Other peers importance for attractive (follow up);Other peers importance for sincere (follow up);Other peers importance for intelligent (follow up);Other peers importance for fun (follow up);Other peers importance for ambitious (follow up);Other peers importance for shared interests (follow up);Opposite sex importance for attractive (follow up);Opposite sex importance for sincere (follow up);Opposite sex importance for intelligent (follow up);Opposite sex importance for fun (follow up);Opposite sex importance for ambitious (follow up);Opposite sex importance for shared interests (follow up);How attractive do you think you are (follow up);How sincere do you think you are (follow up);How intelligent do you think you are (follow up);How fun do you think you are (follow up);How ambitious do you think you are (follow up);How attractive do you think you are perceived (follow up);How sincere do you think you are perceived (follow up);How intelligent do you think you are perceived (follow up);How fun do you think you are perceived (follow up);How ambitious do you think you are perceived (follow up)
1;Female;21;Law;Law;;;;Asian/Pacific Islander/Asian-American;2;4;Chicago;60,521;69,487.00;To meet new people;Almost never;Several times a week;lawyer;;9;2;8;9;1;1;5;1;5;6;9;1;10;10;9;8;1;3;2;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;35.00;20.00;15.00;20.00;5.00;5.00;6;8;8;8;7;;;;;;;;;;;;;;;;;6;Too much;Too few;;;;;;;19.44;16.67;13.89;22.22;11.11;16.67;;;;;;;;;;;;;6;7;8;7;6;;;;;;1;1;;;;15.00;20.00;20.00;15.00;15.00;15.00;;;;;;;;;;;;;;;;;;;5;7;7;7;7;;;;;
2;Female;24;law;Law;;;;European/Caucasian-American;2;5;Alabama;35,223;65,929.00;Seemed like a fun night out;Once a month;Several times a week;law;;3;2;7;10;8;6;3;5;8;10;1;9;8;7;8;3;1;4;5;45.00;5.00;25.00;20.00;0.00;5.00;;;;;;;65.00;0.00;10.00;25.00;0.00;0.00;7;5;10;8;3;;;;;;;;;;;;;;;;;5;Too much;;;;;;;;18.92;18.92;21.62;27.03;5.41;8.11;;;;;;;;;;;;;7;6;8;9;4;;;;;;0;0;;;;30.00;5.00;40.00;15.00;0.00;10.00;;;;;;;;;;;;;;;;;;;7;6;9;9;4;;;;;
3;Female;25;Economics;Math;;;;European/Caucasian-American;8;4;Connecticut;6,268;;Other;Once a week;Several times a week;Economist;;3;8;7;8;5;5;8;4;5;7;8;7;7;7;5;8;7;4;2;35.00;10.00;35.00;10.00;10.00;0.00;;;;;;;50.00;0.00;20.00;30.00;0.00;0.00;8;9;8;9;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Female;23;Law;Law;;;;European/Caucasian-American;1;1;Texas;77,096;37,754.00;Seemed like a fun night out;Once a month;Several times a week;lawyer/policy work;Lawyer;1;1;6;7;6;7;7;5;7;7;7;9;7;8;7;1;8;1;2;20.00;20.00;20.00;20.00;10.00;10.00;;;;;;;30.00;10.00;15.00;30.00;5.00;10.00;7;8;9;7;8;;;;;;;;;;;;;;;;;4;Just Right;Too many;;;;;;;24.14;13.79;20.69;27.59;10.34;3.45;;;;;;;;;;;;;6;8;7;8;6;;;;;;0;0;;;;20.00;20.00;20.00;20.00;0.00;20.00;;;;;;;;;;;;;;;;;;;6;5;6;8;5;;;;;
5;Female;21;Law;Law;;;;European/Caucasian-American;8;1;Bowdoin College;94,022;86,340.00;To meet new people;Twice a month;Several times a week;lawyer;Lawyer;7;4;7;7;6;8;6;6;8;6;8;6;6;3;7;8;3;7;10;20.00;5.00;25.00;25.00;10.00;15.00;;;;;;;50.00;10.00;10.00;20.00;5.00;5.00;6;3;6;10;8;;;;;;;;;;;;;;;;;7;Too much;Too many;;;;;;;15.79;13.16;18.42;15.79;15.79;21.05;;;;;;;;;;;;;6;6;9;9;9;;;;;;0;0;;;;30.00;10.00;20.00;20.00;10.00;10.00;;;;;;;;;;;;;;;;;;;4;5;10;6;10;;;;;
6;Female;23;law;Law;;;;Asian/Pacific Islander/Asian-American;1;1;MD;20,878;60,304.00;Seemed like a fun night out;Once a week;Several times a week;lawyer;Lawyer;10;8;9;7;8;7;9;2;6;9;2;5;6;6;4;1;1;4;3;10.00;25.00;20.00;25.00;5.00;15.00;;;;;;;25.00;10.00;10.00;25.00;10.00;20.00;5;7;8;9;5;;;;;;;;;;;;;;;;;3;Just Right;Too many;;;;;;;10.26;25.64;20.51;23.08;2.56;17.95;;;;;;;;;;;;;5;8;9;8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Female;22;Law;Law;;;;Asian/Pacific Islander/Asian-American;2;4;Southern California;91,360;54,620.00;Seemed like a fun night out;Once a month;Several times a week;Law;Lawyer;5;3;4;10;10;10;2;3;8;8;8;10;10;10;10;10;10;7;3;15.00;15.00;25.00;20.00;15.00;10.00;;;;;;;30.00;12.00;13.00;25.00;10.00;10.00;6;6;5;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Female;25;Masters in Public Administration;Political Science/International Affairs;;;;European/Caucasian-American;1;1;London, England;0;;Seemed like a fun night out;Once a month;Several times a week;Journalist;Creative Arts/Entertainment;2;2;1;10;9;9;3;2;10;8;10;9;9;6;6;8;6;6;10;9.09;18.18;27.27;18.18;18.18;9.09;;;;;;;30.00;10.00;20.00;30.00;5.00;5.00;7;4;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Female;26;Masters in Public Administration;Political Science/International Affairs;;;;Other;1;1;Palm Springs, California;0;;Seemed like a fun night out;Twice a month;Several times a week;Congresswoman, and comedian;International/Humanitarian Affairs;4;3;1;8;6;7;2;2;10;8;8;10;10;9;9;8;3;6;15;20.00;10.00;20.00;30.00;10.00;10.00;;;;;;;30.00;20.00;10.00;20.00;10.00;10.00;7;6;10;7;7;;;;;;;;;;;;;;;;;6;Too much;Too few;;;;;;;13.33;17.78;22.22;22.22;13.33;11.11;;;;;;;;;;;;;7;10;8;10;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Female;26;Masters of Social Work&Education;Political Science/International Affairs;;;;European/Caucasian-American;4;4;94115;19,335;48,652.00;To meet new people;Several times a year;Several times a week;To create early childhood intervention programs;International/Humanitarian Affairs;9;9;9;7;6;6;7;1;7;8;5;6;7;7;8;7;7;7;10;15.00;15.00;15.00;40.00;10.00;5.00;;;;;;;45.00;10.00;15.00;20.00;5.00;5.00;6;8;10;6;9;;;;;;;;;;;;;;;;;2;Too much;Too many;;;;;;;35.71;3.57;10.71;28.57;3.57;17.86;;;;;;;;;;;;;10;5;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
